Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
        Estimate,"2,533,574",,"141,469","145,646","151,401","161,722","159,484","163,088","157,676","151,003","161,114","157,687","158,335","172,794","170,886","148,113","124,947","87,675","64,121","56,413",,"297,047","90,324","528,840","230,882","954,087","2,063,101","2,004,734","1,897,557","652,155","579,580","481,269","208,209",,41.1,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.70%,6.00%,6.40%,6.30%,6.40%,6.20%,6.00%,6.40%,6.20%,6.20%,6.80%,6.70%,5.80%,4.90%,3.50%,2.50%,2.20%,,11.70%,3.60%,20.90%,9.10%,37.70%,81.40%,79.10%,74.90%,25.70%,22.90%,19.00%,8.20%,,(X),(X),(X),(X),(X),,(X),(X)
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"731,545",,"50,891","52,692","49,737","46,531","47,636","60,357","57,621","49,093","43,942","42,772","44,915","48,858","45,912","35,953","25,705","14,030","8,235","6,665",,"102,429","26,429","179,749","67,738","305,180","569,699","551,796","523,018","136,500","118,043","90,588","28,930",,35,108.4,58.6,19.6,39,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.00%,7.20%,6.80%,6.40%,6.50%,8.30%,7.90%,6.70%,6.00%,5.80%,6.10%,6.70%,6.30%,4.90%,3.50%,1.90%,1.10%,0.90%,,14.00%,3.60%,24.60%,9.30%,41.70%,77.90%,75.40%,71.50%,18.70%,16.10%,12.40%,4.00%,,(X),(X),(X),(X),(X),,0.10%,3.40%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"380,433",,"24,910","28,292","25,256","25,866","27,443","31,790","30,493","25,395","21,858","22,182","23,796","25,587","22,772","19,013","12,902","6,114","4,165","2,599",,"53,548","14,719","93,177","38,590","162,845","297,320","287,256","270,928","67,565","57,777","44,793","12,878",,34.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.50%,7.40%,6.60%,6.80%,7.20%,8.40%,8.00%,6.70%,5.70%,5.80%,6.30%,6.70%,6.00%,5.00%,3.40%,1.60%,1.10%,0.70%,,14.10%,3.90%,24.50%,10.10%,42.80%,78.20%,75.50%,71.20%,17.80%,15.20%,11.80%,3.40%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"351,112",,"25,981","24,400","24,481","20,665","20,193","28,567","27,128","23,698","22,084","20,590","21,119","23,271","23,140","16,940","12,803","7,916","4,070","4,066",,"48,881","11,710","86,572","29,148","142,335","272,379","264,540","252,090","68,935","60,266","45,795","16,052",,36,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,7.40%,6.90%,7.00%,5.90%,5.80%,8.10%,7.70%,6.70%,6.30%,5.90%,6.00%,6.60%,6.60%,4.80%,3.60%,2.30%,1.20%,1.20%,,13.90%,3.30%,24.70%,8.30%,40.50%,77.60%,75.30%,71.80%,19.60%,17.20%,13.00%,4.60%,,(X),(X),(X),(X),(X),,(X),(X)
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"7,278,717",,"427,707","445,512","486,413","483,546","490,999","524,185","477,409","457,525","441,008","433,492","419,589","445,006","439,085","399,593","352,238","257,211","167,394","130,805",,"931,925","280,016","1,639,648","694,529","2,874,672","5,820,607","5,639,069","5,332,094","1,746,326","1,564,977","1,307,241","555,410",,38.3,99,68,30.2,37.9,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,6.10%,6.70%,6.60%,6.70%,7.20%,6.60%,6.30%,6.10%,6.00%,5.80%,6.10%,6.00%,5.50%,4.80%,3.50%,2.30%,1.80%,,12.80%,3.80%,22.50%,9.50%,39.50%,80.00%,77.50%,73.30%,24.00%,21.50%,18.00%,7.60%,,(X),(X),(X),(X),(X),,0.10%,1.70%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,620,935",,"218,809","222,249","253,771","248,238","254,402","271,919","248,177","234,308","221,227","214,259","209,415","213,300","209,374","185,681","164,535","121,384","76,719","53,168",,"476,020","144,025","838,854","358,615","1,478,271","2,875,778","2,782,081","2,624,974","810,861","725,346","601,487","251,271",,36.9,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.10%,7.00%,6.90%,7.00%,7.50%,6.90%,6.50%,6.10%,5.90%,5.80%,5.90%,5.80%,5.10%,4.50%,3.40%,2.10%,1.50%,,13.10%,4.00%,23.20%,9.90%,40.80%,79.40%,76.80%,72.50%,22.40%,20.00%,16.60%,6.90%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,657,782",,"208,898","223,263","232,642","235,308","236,597","252,266","229,232","223,217","219,781","219,233","210,174","231,706","229,711","213,912","187,703","135,827","90,675","77,637",,"455,905","135,991","800,794","335,914","1,396,401","2,944,829","2,856,988","2,707,120","935,465","839,631","705,754","304,139",,39.7,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,6.10%,6.40%,6.40%,6.50%,6.90%,6.30%,6.10%,6.00%,6.00%,5.70%,6.30%,6.30%,5.80%,5.10%,3.70%,2.50%,2.10%,,12.50%,3.70%,21.90%,9.20%,38.20%,80.50%,78.10%,74.00%,25.60%,23.00%,19.30%,8.30%,,(X),(X),(X),(X),(X),,(X),(X)
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,017,804",,"183,327","192,289","202,376","205,446","197,910","200,273","186,329","190,582","186,602","183,391","178,993","192,477","193,572","164,385","139,037","99,719","62,524","58,572",,"394,665","121,020","699,012","282,336","1,167,142","2,401,299","2,318,792","2,192,034","717,809","636,003","524,237","220,815",,38.8,95.6,68.2,29.2,39,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.40%,6.70%,6.80%,6.60%,6.60%,6.20%,6.30%,6.20%,6.10%,5.90%,6.40%,6.40%,5.40%,4.60%,3.30%,2.10%,1.90%,,13.10%,4.00%,23.20%,9.40%,38.70%,79.60%,76.80%,72.60%,23.80%,21.10%,17.40%,7.30%,,(X),(X),(X),(X),(X),,0.10%,1.70%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,474,705",,"91,096","97,960","104,390","104,991","100,751","100,712","90,899","93,082","93,698","90,903","88,347","95,757","90,114","77,317","62,866","47,817","24,834","19,171",,"202,350","61,919","355,365","143,823","584,133","1,163,599","1,119,340","1,055,409","322,119","284,419","232,005","91,822",,37.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.60%,7.10%,7.10%,6.80%,6.80%,6.20%,6.30%,6.40%,6.20%,6.00%,6.50%,6.10%,5.20%,4.30%,3.20%,1.70%,1.30%,,13.70%,4.20%,24.10%,9.80%,39.60%,78.90%,75.90%,71.60%,21.80%,19.30%,15.70%,6.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,543,099",,"92,231","94,329","97,986","100,455","97,159","99,561","95,430","97,500","92,904","92,488","90,646","96,720","103,458","87,068","76,171","51,902","37,690","39,401",,"192,315","59,101","343,647","138,513","583,009","1,237,700","1,199,452","1,136,625","395,690","351,584","292,232","128,993",,39.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.10%,6.30%,6.50%,6.30%,6.50%,6.20%,6.30%,6.00%,6.00%,5.90%,6.30%,6.70%,5.60%,4.90%,3.40%,2.40%,2.60%,,12.50%,3.80%,22.30%,9.00%,37.80%,80.20%,77.70%,73.70%,25.60%,22.80%,18.90%,8.40%,,(X),(X),(X),(X),(X),,(X),(X)
California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"39,512,223",,"2,377,839","2,380,762","2,629,510","2,547,449","2,638,791","3,085,132","2,950,920","2,764,917","2,533,994","2,512,971","2,461,846","2,461,936","2,331,158","1,868,922","1,522,934","1,022,127","703,715","717,300",,"5,010,272","1,502,953","8,891,064","3,683,287","16,521,203","31,617,786","30,621,159","29,044,071","8,166,156","7,171,107","5,834,998","2,443,142",,37,98.8,59.4,23.5,35.9,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.00%,6.70%,6.40%,6.70%,7.80%,7.50%,7.00%,6.40%,6.40%,6.20%,6.20%,5.90%,4.70%,3.90%,2.60%,1.80%,1.80%,,12.70%,3.80%,22.50%,9.30%,41.80%,80.00%,77.50%,73.50%,20.70%,18.10%,14.80%,6.20%,,(X),(X),(X),(X),(X),,0.10%,2.20%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"19,640,794",,"1,215,418","1,209,648","1,350,641","1,295,491","1,360,772","1,596,197","1,520,141","1,412,165","1,270,506","1,248,279","1,228,836","1,210,219","1,122,638","881,663","695,971","460,424","294,548","267,237",,"2,560,289","764,174","4,539,881","1,892,089","8,455,272","15,610,458","15,100,913","14,284,978","3,722,481","3,234,125","2,599,843","1,022,209",,35.9,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.20%,6.90%,6.60%,6.90%,8.10%,7.70%,7.20%,6.50%,6.40%,6.30%,6.20%,5.70%,4.50%,3.50%,2.30%,1.50%,1.40%,,13.00%,3.90%,23.10%,9.60%,43.00%,79.50%,76.90%,72.70%,19.00%,16.50%,13.20%,5.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"19,871,429",,"1,162,421","1,171,114","1,278,869","1,251,958","1,278,019","1,488,935","1,430,779","1,352,752","1,263,488","1,264,692","1,233,010","1,251,717","1,208,520","987,259","826,963","561,703","409,167","450,063",,"2,449,983","738,779","4,351,183","1,791,198","8,065,931","16,007,328","15,520,246","14,759,093","4,443,675","3,936,982","3,235,155","1,420,933",,38.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,5.90%,6.40%,6.30%,6.40%,7.50%,7.20%,6.80%,6.40%,6.40%,6.20%,6.30%,6.10%,5.00%,4.20%,2.80%,2.10%,2.30%,,12.30%,3.70%,21.90%,9.00%,40.60%,80.60%,78.10%,74.30%,22.40%,19.80%,16.30%,7.20%,,(X),(X),(X),(X),(X),,(X),(X)
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,758,736",,"327,302","344,202","366,422","365,529","380,338","459,622","448,005","432,098","373,208","365,341","339,451","357,955","353,885","294,456","230,513","143,127","88,708","88,574",,"710,624","218,394","1,256,320","527,473","2,458,800","4,645,780","4,502,416","4,279,893","1,199,263","1,053,116","845,378","320,409",,37.1,101.8,57.5,23.1,34.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,6.00%,6.40%,6.30%,6.60%,8.00%,7.80%,7.50%,6.50%,6.30%,5.90%,6.20%,6.10%,5.10%,4.00%,2.50%,1.50%,1.50%,,12.30%,3.80%,21.80%,9.20%,42.70%,80.70%,78.20%,74.30%,20.80%,18.30%,14.70%,5.60%,,(X),(X),(X),(X),(X),,0.10%,1.80%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,904,955",,"167,191","174,961","190,401","190,236","199,410","240,214","235,003","222,344","191,986","187,535","169,918","175,940","173,304","140,391","109,659","64,661","38,313","33,488",,"365,362","112,978","645,531","276,668","1,279,193","2,332,372","2,259,424","2,141,516","559,816","485,665","386,512","136,462",,36.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.00%,6.60%,6.50%,6.90%,8.30%,8.10%,7.70%,6.60%,6.50%,5.80%,6.10%,6.00%,4.80%,3.80%,2.20%,1.30%,1.20%,,12.60%,3.90%,22.20%,9.50%,44.00%,80.30%,77.80%,73.70%,19.30%,16.70%,13.30%,4.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,853,781",,"160,111","169,241","176,021","175,293","180,928","219,408","213,002","209,754","181,222","177,806","169,533","182,015","180,581","154,065","120,854","78,466","50,395","55,086",,"345,262","105,416","610,789","250,805","1,179,607","2,313,408","2,242,992","2,138,377","639,447","567,451","458,866","183,947",,38.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.90%,6.20%,6.10%,6.30%,7.70%,7.50%,7.40%,6.40%,6.20%,5.90%,6.40%,6.30%,5.40%,4.20%,2.70%,1.80%,1.90%,,12.10%,3.70%,21.40%,8.80%,41.30%,81.10%,78.60%,74.90%,22.40%,19.90%,16.10%,6.40%,,(X),(X),(X),(X),(X),,(X),(X)
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,565,287",,"180,598","193,466","216,194","238,670","239,939","222,301","222,208","216,558","210,409","228,325","252,240","258,972","256,375","197,996","154,563","111,273","76,677","88,523",,"409,660","137,174","727,432","341,435","1,350,085","2,926,854","2,837,855","2,685,230","885,407","776,789","629,032","276,473",,41.2,95.7,61.4,28.5,32.9,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.10%,5.40%,6.10%,6.70%,6.70%,6.20%,6.20%,6.10%,5.90%,6.40%,7.10%,7.30%,7.20%,5.60%,4.30%,3.10%,2.20%,2.50%,,11.50%,3.80%,20.40%,9.60%,37.90%,82.10%,79.60%,75.30%,24.80%,21.80%,17.60%,7.80%,,(X),(X),(X),(X),(X),,0.10%,1.60%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,743,777",,"93,068","97,556","111,917","122,297","123,668","114,817","112,389","105,144","106,197","109,763","121,294","127,314","122,726","93,915","70,638","49,815","30,580","30,679",,"209,473","70,712","373,253","175,253","684,512","1,416,846","1,370,524","1,292,524","398,353","348,224","275,627","111,074",,39.6,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.30%,5.60%,6.40%,7.00%,7.10%,6.60%,6.40%,6.00%,6.10%,6.30%,7.00%,7.30%,7.00%,5.40%,4.10%,2.90%,1.80%,1.80%,,12.00%,4.10%,21.40%,10.10%,39.30%,81.30%,78.60%,74.10%,22.80%,20.00%,15.80%,6.40%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,821,510",,"87,530","95,910","104,277","116,373","116,271","107,484","109,819","111,414","104,212","118,562","130,946","131,658","133,649","104,081","83,925","61,458","46,097","57,844",,"200,187","66,462","354,179","166,182","665,573","1,510,008","1,467,331","1,392,706","487,054","428,565","353,405","165,399",,42.9,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.80%,5.30%,5.70%,6.40%,6.40%,5.90%,6.00%,6.10%,5.70%,6.50%,7.20%,7.20%,7.30%,5.70%,4.60%,3.40%,2.50%,3.20%,,11.00%,3.60%,19.40%,9.10%,36.50%,82.90%,80.60%,76.50%,26.70%,23.50%,19.40%,9.10%,,(X),(X),(X),(X),(X),,(X),(X)
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"973,764",,"54,261","54,150","59,911","60,766","57,365","65,209","63,203","56,028","57,676","58,271","60,399","66,092","70,795","59,838","53,009","35,476","22,515","18,800",,"114,061","35,624","203,946","82,507","360,247","792,119","769,818","729,636","260,433","233,237","189,638","76,791",,41.4,93.4,67.8,32.7,35.2,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.60%,6.20%,6.20%,5.90%,6.70%,6.50%,5.80%,5.90%,6.00%,6.20%,6.80%,7.30%,6.10%,5.40%,3.60%,2.30%,1.90%,,11.70%,3.70%,20.90%,8.50%,37.00%,81.30%,79.10%,74.90%,26.70%,24.00%,19.50%,7.90%,,(X),(X),(X),(X),(X),,0.10%,2.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"470,288",,"27,270","28,046","29,794","30,828","28,614","33,345","31,206","28,520","27,030","28,642","28,079","32,138","31,608","27,383","24,499","17,001","9,271","7,014",,"57,840","18,237","103,347","41,205","179,543","378,881","366,941","348,583","116,776","104,894","85,168","33,286",,39.5,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.00%,6.30%,6.60%,6.10%,7.10%,6.60%,6.10%,5.70%,6.10%,6.00%,6.80%,6.70%,5.80%,5.20%,3.60%,2.00%,1.50%,,12.30%,3.90%,22.00%,8.80%,38.20%,80.60%,78.00%,74.10%,24.80%,22.30%,18.10%,7.10%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"503,476",,"26,991","26,104","30,117","29,938","28,751","31,864","31,997","27,508","30,646","29,629","32,320","33,954","39,187","32,455","28,510","18,475","13,244","11,786",,"56,221","17,387","100,599","41,302","180,704","413,238","402,877","381,053","143,657","128,343","104,470","43,505",,43.3,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,5.20%,6.00%,5.90%,5.70%,6.30%,6.40%,5.50%,6.10%,5.90%,6.40%,6.70%,7.80%,6.40%,5.70%,3.70%,2.60%,2.30%,,11.20%,3.50%,20.00%,8.20%,35.90%,82.10%,80.00%,75.70%,28.50%,25.50%,20.70%,8.60%,,(X),(X),(X),(X),(X),,(X),(X)
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"705,749",,"45,263","35,558","31,821","37,751","50,211","82,476","81,899","61,184","47,721","38,495","35,998","37,365","32,470","30,878","19,709","14,983","10,656","11,311",,"67,379","15,259","127,901","72,703","361,242","587,819","577,848","544,046","120,007","106,806","87,537","36,950",,34.3,90,43.9,17.9,26.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,5.00%,4.50%,5.30%,7.10%,11.70%,11.60%,8.70%,6.80%,5.50%,5.10%,5.30%,4.60%,4.40%,2.80%,2.10%,1.50%,1.60%,,9.50%,2.20%,18.10%,10.30%,51.20%,83.30%,81.90%,77.10%,17.00%,15.10%,12.40%,5.20%,,(X),(X),(X),(X),(X),,0.10%,2.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"334,355",,"23,038","18,151","15,902","17,128","23,184","38,139","39,218","30,309","23,191","19,190","17,841","18,436","14,577","13,914","7,979","7,020","3,665","3,473",,"34,053","7,686","64,777","32,626","171,169","274,808","269,578","255,834","50,628","45,426","36,051","14,158",,34,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
